"","CombinationLabel","Sub","Category","Avg_V4_dis_L2","Avg_V2_dis_L2","Avg_V1_dis_L2","Avg_IT_dis_L2","Avg_V4_dis_Cosine","Avg_V2_dis_Cosine","Avg_V1_dis_Cosine","Avg_IT_dis_Cosine","Avg_CHOICERIGHT","Avg_Accuracy","Avg_PWDis","Avg_SL_Dis","Avg_SP_Dis","Avg_AE_Dis","Avg_AR_Dis","Avg_Sym_Dis","Avg_Symbol_Dis","Avg_FSymbol_Dis","Avg_HU_Dis"
"752","quad7-quad7-quad1","gaga","IRREG",-9.689798,-11.911075,-16.30493,-19.753457,-0.10442704,-0.07173627,-0.05260795,-0.2342901,0.333333333333333,0.666666666666667,-0.0163847798250404,-5,-2,-6,-4,-7,-17,-24,54.6510155004351
"753","quad7-quad7-quad3","Kalamata","IRREG",-9.50018728089883,-11.8604346067416,-17.0623490337078,-19.7928408651685,-0.100402712247191,-0.0664395117977533,-0.0518271005617978,-0.220586469213482,0.320224719101124,0.679775280898876,-0.0153046696614385,-3,-2,-2,0,-1,-7,-8,19.2956241958896
"754","quad7-quad7-quad3","Olivella","IRREG",-9.10031916666666,-10.7608528125,-15.5388840833334,-19.2417160833333,-0.0943470752083333,-0.0600926281250001,-0.04718647125,-0.211189900625,0.333333333333333,0.666666666666667,-0.0119702259238239,-3,-2,-2,0,-1,-7,-8,14.3781778145215
"755","quad7-quad7-quad3","Pico","IRREG",-9.26312,-11.2085325,-16.159142,-19.466099,-0.096812545,-0.0626766750000001,-0.04907584,-0.215015585,0.5625,0.4375,-0.013327799083237,-3,-2,-2,0,-1,-7,-8,16.3802488481069
"756","quad7-quad7-quad3","Sabina","IRREG",-9.56367538461539,-12.0350180769231,-17.3042335384616,-19.8803443846154,-0.101364181538462,-0.0674472230769232,-0.0525639053846153,-0.222078386923077,0.923076923076923,0.0769230769230769,-0.0158340879929228,-3,-2,-2,0,-1,-7,-8,20.0763799870338
"757","quad7-quad7-quad3","beyonce","IRREG",-9.93677862068966,-13.0610001724138,-18.7257264827586,-20.3945800344828,-0.107014488965517,-0.0733692827586208,-0.0568939175862068,-0.230846003103448,0.448275862068966,0.551724137931034,-0.0189453431911535,-3,-2,-2,0,-1,-7,-8,24.664680711219
"758","quad7-quad7-quad3","gaga","IRREG",-9.99067131034483,-13.2091975862069,-18.9310532413793,-20.4688585172414,-0.107830644482759,-0.0742246913793104,-0.0575193637931034,-0.232112436551724,0.896551724137931,0.103448275862069,-0.0193947467197868,-3,-2,-2,0,-1,-7,-8,25.3274352602679
"759","quad7-quad7-quad3","rihanna","IRREG",-10.044564,-13.357395,-19.13638,-20.543137,-0.1086468,-0.0750801000000001,-0.0581448099999999,-0.23337887,0.103448275862069,0.896551724137931,-0.0198441502484201,-3,-2,-2,0,-1,-7,-8,25.9901898093169
"760","quad7-quad7-quad5","Kalamata","IRREG",-7.37334566189113,-9.7533526131805,-13.874227512894,-17.8650059770773,-0.0755336072779373,-0.0562381122636103,-0.0420206641547277,-0.192983245730659,0.128939828080229,0.871060171919771,-0.0097096437030969,-2,-1,-1,-2,0,-6,-6,24.3428780429454
"761","quad7-quad7-quad5","Olivella","IRREG",-6.94652792156862,-8.98811180392156,-12.7592702352941,-17.1337264705882,-0.0703857188235294,-0.0511181839215686,-0.0384169390196078,-0.183573859607843,0.235294117647059,0.764705882352941,-0.00731455193756101,-2,-1,-1,-2,0,-6,-6,20.4984374090256
"762","quad7-quad7-quad5","Pico","IRREG",-6.98326266666666,-9.05397346666666,-12.8552308,-17.1966652,-0.07082878,-0.0515588386666667,-0.0387270993333333,-0.184383693333333,0.433333333333333,0.566666666666667,-0.00752068930529764,-2,-1,-1,-2,0,-6,-6,20.8293152835602
"763","quad7-quad7-quad5","Sabina","IRREG",-7.47681174193547,-9.93885677419355,-14.1445074193548,-18.042277483871,-0.0767815212903225,-0.0574792483870968,-0.0428942532258064,-0.195264201290323,0.67741935483871,0.32258064516129,-0.0102902445847269,-2,-1,-1,-2,0,-6,-6,25.2748196301305
"764","quad7-quad7-quad5","beyonce","IRREG",-8.23224399999999,-11.29327,-16.11789,-19.336582,-0.08589286,-0.0665411,-0.04927255,-0.21191804,0.222222222222222,0.777777777777778,-0.014529359808343,-2,-1,-1,-2,0,-6,-6,32.0791630177381
"765","quad7-quad7-quad5","gaga","IRREG",-8.15149089655171,-11.1484878965517,-15.9069422068966,-19.1982253103448,-0.0849188893103448,-0.0655724193103448,-0.0485907320689655,-0.210137802068966,0.793103448275862,0.206896551724138,-0.0140762130085771,-2,-1,-1,-2,0,-6,-6,31.3518021728559
"766","quad7-quad7-quad5","rihanna","IRREG",-8.23224399999999,-11.29327,-16.11789,-19.336582,-0.08589286,-0.0665411,-0.04927255,-0.21191804,0.0384615384615385,0.961538461538462,-0.014529359808343,-2,-1,-1,-2,0,-6,-6,32.0791630177381
"767","quad7-quad7-quad6","Kalamata","IRREG",-4.58565458221021,-8.32485671159028,-10.6813000754716,-11.2000046199461,-0.0446011667924526,-0.0456760676819406,-0.0315313508086251,-0.109025652021564,0.350404312668464,0.649595687331536,-0.00581156807376715,0,0,0,0,0,0,0,21.9543500113923
"768","quad7-quad7-quad6","Olivella","IRREG",-4.590071,-8.24246699999997,-10.6580302,-11.3282053,-0.0447573019999999,-0.0454519520000001,-0.031583144,-0.11055309,0.4,0.6,-0.00572860304513107,0,0,0,0,0,0,0,22.4896906088359
"769","quad7-quad7-quad6","Pico","IRREG",-4.60239609756098,-8.0125382926829,-10.593089902439,-11.6859807560976,-0.0451930356097561,-0.044826502195122,-0.0317276856097561,-0.114815780487805,0.5,0.5,-0.00549706877442407,0,0,0,0,0,0,0,23.9836899100671
